"Title: Distribution of the Total Population by Federal Poverty Level (above and below 200% FPL) | KFF"
"Timeframe: 2008 - 2023"
"Location","2008__Under 200%","2008__200%+","2008__Total","2009__Under 200%","2009__200%+","2009__Total","2010__Under 200%","2010__200%+","2010__Total","2011__Under 200%","2011__200%+","2011__Total","2012__Under 200%","2012__200%+","2012__Total","2013__Under 200%","2013__200%+","2013__Total","2014__Under 200%","2014__200%+","2014__Total","2015__Under 200%","2015__200%+","2015__Total","2016__Under 200%","2016__200%+","2016__Total","2017__Under 200%","2017__200%+","2017__Total","2018__Under 200%","2018__200%+","2018__Total","2019__Under 200%","2019__200%+","2019__Total","2021__Under 200%","2021__200%+","2021__Total","2022__Under 200%","2022__200%+","2022__Total","2023__Under 200%","2023__200%+","2023__Total",Footnotes
"United States","91347600","203922100","295269800","97421800","200575900","297997800","103423500","197382700","300806200","106362800","196717900","303080600","106949600","198427000","305376600","106758000","200747500","307505500","106087800","204124500","310212200","103127800","209650100","312777900","99900200","214566200","314466400","98125300","218897200","317022500","96825600","221672900","318498500","92396500","227000000","319000000","92541600","230634200","323175700","91882300","232603700","324486000","92036700","234041900","326078600","1"
"Alabama","1646600","2880300","4526900","1779200","2789900","4569100","1871000","2780400","4651400","1897400","2778600","4676000","1868200","2827800","4696000","1889100","2816700","4705800","1888400","2825700","4714100","1847700","2882400","4730100","1760000","2970100","4730100","1782800","2958600","4741400","1736300","3016400","4752600","1695300","3071800","4767100","1728100","3172600","4900800","1729400","3186600","4916000","1709500","3235700","4945200"
"Alaska","152600","502100","654700","160300","508600","668900","184700","499900","684600","188900","508200","697100","187700","518500","706200","170000","535100","705100","195200","511400","706600","193700","513800","707500","179800","535200","714900","194100","516100","710100","179700","529400","709100","171200","530500","701700","167800","530900","698700","175200","523400","698600","170500","530000","700500"
"Arizona","2175300","4187700","6363000","2347200","4110700","6457900","2446100","3810800","6256900","2532400","3792100","6324500","2526200","3860100","6386300","2560900","3904800","6465700","2538900","4017300","6556200","2472800","4182400","6655100","2441100","4319800","6760900","2357400","4483900","6841300","2358000","4646200","7004300","2263000","4835000","7098000","2132100","4975200","7107300","2125800","5063800","7189700","2079900","5173000","7252900"
"Arkansas","1148800","1620900","2769700","1157300","1638900","2796100","1215800","1618300","2834000","1223900","1625600","2849500","1222500","1637700","2860200","1242500","1626100","2868600","1236400","1643600","2880000","1196200","1686100","2882300","1176600","1718900","2895400","1129900","1780100","2910000","1163000","1758300","2921300","1149900","1772600","2922500","1106900","1829500","2936400","1108900","1844000","2952900","1091700","1881800","2973600"
"California","11446800","24435200","35882000","12156600","23938200","36094800","13145800","23369800","36515700","13775600","23087300","36862800","13829800","23391600","37221500","13782600","23728600","37511300","13672100","24309400","37981600","13187900","25137200","38325100","12568100","25874300","38442400","11943400","26770500","38713900","11544200","27201600","38745900","10813600","27829100","38642700","10597800","27781500","38379200","10452700","27734200","38187000","10377500","27760700","38138100"
"Colorado","1332800","3483900","4816700","1412600","3478400","4891000","1504400","3411800","4916200","1556500","3427400","4983900","1544500","3501400","5045900","1535600","3594600","5130200","1498900","3718100","5217000","1477000","3838300","5315400","1441300","3956800","5398100","1392000","4069000","5461100","1374500","4180700","5555200","1308500","4303200","5611800","1283800","4380400","5664200","1259800","4435300","5695100","1208700","4516000","5724600"
"Connecticut","694700","2689100","3383800","721300","2681900","3403200","793900","2669800","3463700","838900","2627400","3466400","835900","2643400","3479300","835100","2643900","3479000","842900","2637500","3480400","788500","2689500","3478100","757700","2707400","3465100","776100","2702600","3478700","818800","2647500","3466300","786300","2667100","3453300","776700","2724900","3501500","763500","2743000","3506600","804500","2710200","3514700"
"Delaware","221000","623200","844200","235900","619600","855500","242100","629600","871700","254500","625500","880100","267400","620600","888000","273400","625200","898500","247700","657600","905300","259800","658500","918300","235000","689300","924300","256600","675100","931700","256000","681700","937700","231200","709100","940300","245700","728400","974100","215300","775400","990700","243000","759900","1002900"
"District of Columbia","177500","381500","558900","187800","380000","567800","192500","377700","570200","185300","398600","583900","188200","407800","596000","211700","398600","610300","191600","431900","623500","196400","438400","634800","196200","448200","644400","194400","463200","657600","183200","484700","667900","170900","500400","671300","158100","475300","633400","148100","490500","638600","140600","505500","646000"
"Florida","5831600","12042600","17874300","6470400","11596900","18067300","6923900","11475000","18398800","7229900","11384300","18614200","7384700","11492200","18876900","7338700","11754500","19093200","7370000","12061100","19431100","7312900","12499600","19812500","7151800","12992300","20144000","7111000","13421300","20532300","6915300","13928200","20843500","6721000","14271000","20992000","6628100","14676600","21304700","6548500","15145000","21693500","6518500","15557500","22076000"
"Georgia","3178600","6197700","9376400","3423800","6061100","9484800","3673500","5741200","9414700","3806000","5711400","9517400","3863800","5752600","9616400","3850500","5840400","9690900","3789500","6003400","9792900","3684700","6225000","9909700","3527800","6473200","10001000","3504300","6617100","10121400","3390000","6822800","10212800","3281800","7012200","10294000","3250200","7228100","10478300","3171300","7438500","10609800","3275500","7444700","10720100"
"Hawaii","275300","953700","1229000","298000","925500","1223500","316800","984800","1301600","356200","955700","1311900","358500","971800","1330300","342200","989400","1331500","337700","1010400","1348100","332800","1029800","1362600","304600","1060000","1364600","303500","1052600","1356100","308100","1046700","1354800","282900","1060100","1343000","317900","1047300","1365100","321800","1047700","1369500","312500","1053800","1366300"
"Idaho","529500","954800","1484300","575800","932000","1507700","606800","932100","1538900","600800","946500","1547300","609600","952900","1562500","629400","951500","1580900","606000","992900","1598800","598500","1018700","1617200","576100","1074600","1650700","574300","1107800","1682100","576600","1143100","1719600","558200","1192700","1750900","559300","1305700","1865000","542600","1342700","1885200","546900","1363100","1910000"
"Illinois","3528600","9027400","12556000","3829300","8729100","12558400","3927400","8609000","12536400","4105800","8448000","12553800","4065100","8502700","12567900","3996500","8574600","12571100","3903700","8665700","12569400","3796800","8752900","12549700","3692300","8798900","12491200","3624100","8872500","12496600","3515500","8922800","12438400","3271900","9090400","12362300","3333400","9035400","12368800","3234800","9061400","12296100","3160900","9091800","12252700"
"Indiana","1908300","4264500","6172900","2059300","4162600","6221900","2238200","4051100","6289300","2233300","4083700","6317100","2257500","4081300","6338800","2286500","4080000","6366500","2208100","4178600","6386700","2153400","4261700","6415100","2068200","4363200","6431400","2042000","4417400","6459400","2020600","4466500","6487100","1946800","4565000","6511800","1904400","4697000","6601300","1937500","4701900","6639400","1997400","4666200","6663600"
"Iowa","823400","2070600","2894000","841100","2061500","2902600","888500","2059700","2948200","925000","2038800","2963800","889200","2086900","2976000","910300","2080000","2990300","904900","2097200","3002100","911500","2108400","3019800","830700","2199800","3030400","834900","2210700","3045600","838800","2218000","3056800","840200","2220100","3060200","805200","2287900","3093200","806900","2294100","3101000","825000","2281200","3106200"
"Kansas","796300","1905000","2701400","859300","1856800","2716000","891500","1869400","2761000","914000","1858200","2772200","908600","1879000","2787500","899600","1896900","2796500","914600","1896100","2810700","859400","1957200","2816600","845000","1971900","2817000","853900","1963700","2817600","841500","1973200","2814700","790300","2020900","2811200","836100","2007100","2843100","801200","2037300","2838500","788800","2047000","2835800"
"Kentucky","1556400","2587100","4143600","1638500","2535000","4173500","1679500","2527600","4207100","1679000","2548900","4227900","1701500","2533600","4235100","1666000","2594900","4260900","1686100","2582700","4268800","1629500","2653900","4283400","1629700","2657900","4287700","1593300","2713800","4307100","1557900","2762400","4320300","1496800","2822600","4319300","1519300","2846200","4365500","1533600","2843600","4377200","1558900","2834700","4393500"
"Louisiana","1616300","2657500","4273800","1619600","2732800","4352400","1739600","2660800","4400400","1797600","2633600","4431200","1828600","2628400","4457000","1793200","2690000","4483200","1802100","2706400","4508500","1803600","2726700","4530300","1779700","2750800","4530500","1844300","2697300","4541500","1809700","2709600","4519300","1697100","2801500","4498600","1714200","2766000","4480200","1708000","2743500","4451600","1681000","2749700","4430700"
